ERROR: BRAM accum_buff[15]: 1 != 2 at rho = -1091 (rho index = 88), theta = 175.
ERROR: BRAM accum_buff[0]: 0 != 2 at rho = -1091 (rho index = 88), theta = 176.
ERROR: BRAM accum_buff[1]: 0 != 2 at rho = -1091 (rho index = 88), theta = 177.
ERROR: BRAM accum_buff[2]: 2 != 4 at rho = -1091 (rho index = 88), theta = 178.
ERROR: BRAM accum_buff[3]: 0 != 2 at rho = -1091 (rho index = 88), theta = 179.
ERROR: BRAM accum_buff[7]: 0 != 1 at rho = -1090 (rho index = 89), theta = 167.
ERROR: BRAM accum_buff[8]: 0 != 1 at rho = -1090 (rho index = 89), theta = 168.
ERROR: BRAM accum_buff[13]: 0 != 1 at rho = -1090 (rho index = 89), theta = 173.
ERROR: BRAM accum_buff[14]: 0 != 1 at rho = -1090 (rho index = 89), theta = 174.
ERROR: BRAM accum_buff[15]: 0 != 2 at rho = -1090 (rho index = 89), theta = 175.
ERROR: BRAM accum_buff[0]: 2 != 3 at rho = -1090 (rho index = 89), theta = 176.
ERROR: BRAM accum_buff[1]: 2 != 4 at rho = -1090 (rho index = 89), theta = 177.
ERROR: BRAM accum_buff[2]: 0 != 2 at rho = -1090 (rho index = 89), theta = 178.
ERROR: BRAM accum_buff[3]: 1 != 3 at rho = -1090 (rho index = 89), theta = 179.
ERROR: BRAM accum_buff[7]: 1 != 2 at rho = -1089 (rho index = 90), theta = 167.
ERROR: BRAM accum_buff[8]: 0 != 1 at rho = -1089 (rho index = 90), theta = 168.
ERROR: BRAM accum_buff[12]: 0 != 1 at rho = -1089 (rho index = 90), theta = 172.
ERROR: BRAM accum_buff[13]: 0 != 1 at rho = -1089 (rho index = 90), theta = 173.
ERROR: BRAM accum_buff[14]: 0 != 1 at rho = -1089 (rho index = 90), theta = 174.
ERROR: BRAM accum_buff[15]: 2 != 4 at rho = -1089 (rho index = 90), theta = 175.
ERROR: BRAM accum_buff[0]: 0 != 2 at rho = -1089 (rho index = 90), theta = 176.
ERROR: BRAM accum_buff[1]: 0 != 2 at rho = -1089 (rho index = 90), theta = 177.
ERROR: BRAM accum_buff[2]: 1 != 3 at rho = -1089 (rho index = 90), theta = 178.
ERROR: BRAM accum_buff[3]: 0 != 2 at rho = -1089 (rho index = 90), theta = 179.
ERROR: BRAM accum_buff[7]: 0 != 1 at rho = -1088 (rho index = 91), theta = 167.
ERROR: BRAM accum_buff[13]: 0 != 1 at rho = -1088 (rho index = 91), theta = 173.
ERROR: BRAM accum_buff[14]: 0 != 1 at rho = -1088 (rho index = 91), theta = 174.
ERROR: BRAM accum_buff[15]: 0 != 2 at rho = -1088 (rho index = 91), theta = 175.
ERROR: BRAM accum_buff[0]: 0 != 2 at rho = -1088 (rho index = 91), theta = 176.
ERROR: BRAM accum_buff[1]: 1 != 3 at rho = -1088 (rho index = 91), theta = 177.
ERROR: BRAM accum_buff[2]: 0 != 2 at rho = -1088 (rho index = 91), theta = 178.
ERROR: BRAM accum_buff[3]: 1 != 3 at rho = -1088 (rho index = 91), theta = 179.
ERROR: BRAM accum_buff[6]: 0 != 1 at rho = -1087 (rho index = 92), theta = 166.
ERROR: BRAM accum_buff[7]: 1 != 2 at rho = -1087 (rho index = 92), theta = 167.
ERROR: BRAM accum_buff[12]: 0 != 1 at rho = -1087 (rho index = 92), theta = 172.
ERROR: BRAM accum_buff[13]: 0 != 1 at rho = -1087 (rho index = 92), theta = 173.
ERROR: BRAM accum_buff[14]: 0 != 2 at rho = -1087 (rho index = 92), theta = 174.
ERROR: BRAM accum_buff[15]: 1 != 2 at rho = -1087 (rho index = 92), theta = 175.
ERROR: BRAM accum_buff[0]: 1 != 3 at rho = -1087 (rho index = 92), theta = 176.
ERROR: BRAM accum_buff[1]: 0 != 2 at rho = -1087 (rho index = 92), theta = 177.
ERROR: BRAM accum_buff[2]: 1 != 3 at rho = -1087 (rho index = 92), theta = 178.
ERROR: BRAM accum_buff[3]: 0 != 2 at rho = -1087 (rho index = 92), theta = 179.
ERROR: BRAM accum_buff[6]: 0 != 1 at rho = -1086 (rho index = 93), theta = 166.
ERROR: BRAM accum_buff[7]: 0 != 1 at rho = -1086 (rho index = 93), theta = 167.
